timestamp,x,y,area_id,rsrp,rsrq,sinr,cqi,serving_bs,distance
0,134.211326191309,26.3913226588457,6,-53.7190189271548,-5.60954614521911,14.2670542212629,11,1,90.5602954097308
0.5,135.488038922033,26.7163889022075,6,-63.3798210570775,-5.60759524611981,4.60625209134029,6,1,91.6655952060986
1,136.764751652758,27.0414551455693,6,-52.8924700570953,-5.60968152845309,15.0936030913225,11,1,92.776435107185
1.5,138.041464383483,27.3665213889311,6,-59.8344166362647,-5.60702492019127,8.15165651215307,8,1,93.8926184789082
2,139.318177114208,27.6915876322929,6,-64.4467417878778,-5.60164939804482,3.53933136053999,5,1,95.0139570030248
2.5,140.594889844933,28.0166538756547,6,-59.2672430797992,-5.60858495640045,8.71883006861852,8,1,96.1402702973017
3,141.871602575657,28.3417201190164,6,-57.1029153051787,-5.60652901531567,10.883157843239,9,1,97.2713855520859
3.5,143.148315306382,28.6667863623782,6,-53.9387187773488,-5.60876345117926,14.047354371069,10,1,98.4071371828568
4,144.425028037107,28.99185260574,6,-58.6495257525812,-5.60660543049339,9.33654739583655,8,1,99.5473664983026
4.5,145.701740767832,29.3169188491018,6,-56.8154820308733,-5.60781167556869,11.1705911175445,9,1,100.691921383435
5,146.978453498557,29.6419850924636,6,-54.7857520829996,-5.60648010824236,13.2003210654182,10,1,101.840655997235
5.5,148.255166229281,29.9670513358254,6,-47.5283808586251,-5.60732327011239,17.5860731484177,12,1,102.993430484304
5.99999999999999,149.531878960006,30.2921175791872,6,-53.332156246777,-5.60730791202541,14.6539169016407,11,1,104.150110699998
6.49999999999999,150.808591690731,30.617183822549,6,-53.1539554443502,-5.60744856696138,14.8321177040675,11,1,105.310567948508
6.99999999999999,152.085304421456,30.9422500659108,6,-56.3873117281122,-5.60618201804488,11.5987614203056,9,1,106.474678733357
7.49999999999999,153.36201715218,31.2673163092725,6,-58.185254173128,-5.60665541433125,9.80081897528972,8,1,107.642324519793
7.99999999999999,154.638729882905,31.5923825526343,6,-59.6246924262403,-5.60394908264644,8.36138072217745,8,1,108.813391508565
8.49999999999999,155.91544261363,31.9174487959961,6,-61.4557135207,-5.6063462335415,6.53035962771776,7,1,109.987770420564
8.99999999999998,157.192155344355,32.2425150393579,6,-59.0713625832394,-5.60662474079637,8.91471056517836,8,1,111.165356291858
9.49999999999998,158.46886807508,32.5675812827197,6,-70.4304264043406,-5.60480608590413,-2.44435325592289,2,1,112.346048278627
