timestamp,x,y,area_id,rsrp,rsrq,sinr,cqi,serving_bs,distance
0,117.039582112804,50.9491982335685,6,-54.1863470081145,-5.60947343935243,13.7997261403032,10,1,71.045454092053
0.5,117.300502551004,51.5461533650486,6,-48.4990626748773,-5.60948929072467,17.5860731484177,12,1,71.3021614949083
1,117.561422989205,52.1431084965288,6,-56.6569068164244,-5.61085796123493,11.3291663319933,9,1,71.5638790896225
1.5,117.822343427405,52.7400636280089,6,-51.5588475064803,-5.61133239840257,16.4272256419374,12,1,71.8305521116911
2,118.083263865605,53.337018759489,6,-52.6466446660018,-5.60824568488899,15.339428482416,11,1,72.1021255775083
2.5,118.344184303805,53.9339738909692,6,-51.9693081833514,-5.60694721125391,16.0167649650664,12,1,72.3785443258381
3,118.605104742005,54.5309290224493,6,-51.6430470650707,-5.61049504611805,16.343026083347,12,1,72.6597530581271
3.5,118.866025180206,55.1278841539295,6,-48.0229631061405,-5.60848636965432,17.5860731484177,12,1,72.9456963776262
4,119.126945618406,55.7248392854096,6,-54.5638864045745,-5.60887637533251,13.4221867438432,10,1,73.2363188272991
4.5,119.387866056606,56.3217944168898,6,-58.9370763105607,-5.60729856208118,9.04899683785708,8,1,73.5315649264921
5,119.648786494806,56.9187495483699,6,-54.1522106900985,-5.6103664504942,13.8338624583192,10,1,73.8313792063522
5.5,119.909706933006,57.51570467985,6,-54.9540005619055,-5.61034039816837,13.0320725865122,10,1,74.1357062439792
5.99999999999999,120.170627371207,58.1126598113302,6,-59.6937316373941,-5.60189964987132,8.29234151102367,8,1,74.4444906953034
6.49999999999999,120.431547809407,58.7096149428103,6,-56.565436071023,-5.60837293214849,11.4206370773948,9,1,74.7576773266853
6.99999999999999,120.692468247607,59.3065700742905,6,-51.3949845509355,-5.60958221215696,16.5910885974822,12,1,75.0752110452353
7.49999999999999,120.953388685807,59.9035252057706,6,-59.4892897074324,-5.60715743880887,8.49678344098537,8,1,75.3970369278567
7.99999999999999,121.214309124008,60.5004803372508,6,-49.8328270670106,-5.60872989404485,17.5860731484177,12,1,75.7231002490171
8.49999999999999,121.475229562208,61.0974354687309,6,-51.5434182596888,-5.6094388270547,16.4426548887289,12,1,76.0533465072573
8.99999999999998,121.736150000408,61.6943906002111,6,-50.9914571686943,-5.60832310233116,16.9946159797234,12,1,76.3877214504487
9.49999999999998,121.997070438608,62.2913457316912,6,-51.6829097463496,-5.60922564084869,16.3031634020681,12,1,76.7261710998136
9.99999999999998,122.257990876808,62.8883008631713,6,-46.7604052942488,-5.60857752759909,17.5860731484177,12,1,77.0686417727246
10.5,121.437277785904,62.4548709111903,6,-50.568275528727,-5.60967054412752,17.4177976196907,12,1,76.2276752031366
11,120.616564695001,62.0214409592092,6,-50.8195713265011,-5.60735062141254,17.1665018219167,12,1,75.3887541484733
11.5,119.795851604097,61.5880110072282,6,-50.677298334951,-5.60986564926473,17.3087748134667,12,1,74.551947662316
12,118.975138513193,61.1545810552471,6,-51.3797723472334,-5.61027076075912,16.6063008011843,12,1,73.7173277556382
12.5,118.154425422289,60.721151103266,6,-53.8826289833733,-5.60808633994228,14.1034441650444,11,1,72.8849695453141
13,117.333712331385,60.287721151285,6,-48.5248994979042,-5.60833284746398,17.5860731484177,12,1,72.0549514107966
13.5,116.512999240481,59.8542911993039,6,-56.6374953460446,-5.6098846946819,11.3485778023731,9,1,71.227355159411
14,115.692286149577,59.4208612473228,6,-49.4723424588152,-5.60999116894711,17.5860731484177,12,1,70.4022662007353
14.5,114.871573058673,58.9874312953418,6,-53.2540992680404,-5.60701889731344,14.7319738803773,11,1,69.5797737305549
15,114.050859967769,58.5540013433607,6,-53.7977457712489,-5.61044981446859,14.1883273771689,11,1,68.759970924899
15.5,113.230146876865,58.1205713913797,6,-58.9116859852523,-5.60812094617478,9.07438716316543,8,1,67.942955144683
16,112.409433785961,57.6871414393986,6,-55.6398801060549,-5.60569957102939,12.3461930423629,10,1,67.1288281514996
16.5,111.588720695057,57.2537114874175,6,-47.6428138127599,-5.61007908964823,17.5860731484177,12,1,66.3176963351144
17,110.768007604153,56.8202815354365,6,-47.4939475165296,-5.6122140280856,17.5860731484177,12,1,65.5096709532343
17.5,109.947294513249,56.3868515834554,6,-46.8983630313877,-5.61023185842498,17.5860731484177,12,1,64.7048683841279
18,109.126581422345,55.9534216314744,6,-59.9205167447934,-5.61210452975977,8.06555640362436,7,1,63.9034103926803
18.5,108.305868331441,55.5199916794933,6,-50.2051630602166,-5.61278936417404,17.5860731484177,12,1,63.105424410466
19,107.485155240537,55.0865617275122,6,-47.1472112063419,-5.61395018632588,17.5860731484177,12,1,62.3110438304195
19.5,106.664442149633,54.6531317755312,6,-61.6992780036248,-5.60645808887794,6.28679514479296,7,1,61.5204083166684
20,105.843729058729,54.2197018235501,6,-48.0364938575055,-5.61476732447931,17.5860731484177,12,1,60.7336641300725
20.5,105.719109368763,53.8236023701896,6,-48.837996892292,-5.61138101121544,17.5860731484177,12,1,60.5928137977884
21,105.594489678796,53.427502916829,6,-51.0978253779314,-5.61254796020577,16.8882477704864,12,1,60.4544875000246
21.5,105.469869988829,53.0314034634685,6,-52.7069528212777,-5.61149581496413,15.27912032714,11,1,60.3187026015643
22,105.345250298863,52.635304010108,6,-54.1045362851,-5.61530882512309,13.8815368633178,10,1,60.1854763034193
22.5,105.220630608896,52.2392045567474,6,-55.9481890825736,-5.61206477114877,12.0378840658442,9,1,60.0548256336749
23.0000000000001,105.096010918929,51.8431051033869,6,-48.1989430909045,-5.61547984885301,17.5860731484177,12,1,59.9267674382734
23.5000000000001,104.971391228963,51.4470056500264,6,-51.8846611908172,-5.61405440580117,16.1014119576006,12,1,59.8013183717456
24.0000000000001,104.846771538996,51.0509061966658,6,-50.0166995847493,-5.61474779317051,17.5860731484177,12,1,59.6784948878992
24.5000000000001,104.722151849029,50.6548067433053,6,-55.1813776811522,-5.61133057023624,12.8046954672656,10,1,59.5583132304744
25.0000000000001,104.597532159063,50.2587072899448,6,-55.4602519037993,-5.60446693323491,12.5258212446185,10,1,59.4407894237766
25.5000000000001,104.472912469096,49.8626078365842,6,-55.7154128425458,-5.61596669935927,12.270660305872,9,1,59.3259392632966
26.0000000000001,104.348292779129,49.4665083832237,6,-53.6470065320165,-5.61231649643923,14.3390666164013,11,1,59.2137783063294
26.5000000000001,104.223673089163,49.0704089298632,6,-54.6435902808001,-5.61306860629926,13.3424828676177,10,1,59.104321862602
27.0000000000001,104.099053399196,48.6743094765026,6,-53.3824364780631,-5.61429215116192,14.6036366703547,11,1,58.9975849849224
27.5000000000001,103.974433709229,48.2782100231421,6,-50.0127768151397,-5.60784283322164,17.5860731484177,12,1,58.8935824598605
28.0000000000001,103.849814019263,47.8821105697816,6,-47.998122893573,-5.61442616391581,17.5860731484177,12,1,58.7923287984733
28.5000000000001,103.725194329296,47.486011116421,6,-62.4323769491577,-5.61602082367436,5.55369619926006,6,1,58.6938382270862
29.0000000000001,103.600574639329,47.0899116630605,6,-51.8503500141934,-5.61712698564494,16.1357231342244,12,1,58.5981246781421
29.5000000000001,103.475954949363,46.6938122097,6,-57.4416660049035,-5.6129810716982,10.5444071435142,9,1,58.5052017811321
